"2026021351","Samsung S25","samsung","700","8","4"
"2026021312","iPhone 17 Pro Max","apple","1099","12","3"
"2026021383","Samsung Galaxy A05 4G","samsung","169","3","2"
"2026021350","Redmi Note 15 Pro+","xiaomi","341","8","41"
"2026021360","CMF Phone 2 Pro","others","259","8","22"
"2026021331","Xiaomi 15T Pro","xiaomi","669","12","28"
"2026021305","Xiaomi 15 Ultra","xiaomi","899","16","15"
"2026021385","Poco X7 Pro","xiaomi","298","12","11"
"2026021395","Samsung Galaxy A56","samsung","500","8","56"
"2026021314","Nothing Phone 3","others","799","12","14"
